,要件,最終判断
68,本調達に係る本情報システムを構成するソフトウェア、機器等について、itセキュリティ評価及び認証制度に基づく認証を取得している製品を積極的に採用すること。,セキュリティ
69,受託者は、情報セキュリティ事故が発生した場合は、あらかじめ定められた一次対応を行った上で、原因の分析及び再発防止策の検討を行い、職業安定局に報告し、職業安定局の承認を得た上で再発防止策を実行すること。,保守性
70,受託者は、厚生労働省情報セキュリティポリシー等の見直しが行われた場合は、その内容に準拠すること。,保守性
71,ハードウェア構成については、調達仕様書別紙0「閲覧資料一覧」に示す資料を参照のこと。,その他
72,ソフトウェア構成については、調達仕様書別紙0「閲覧資料一覧」に示す資料を参照のこと。,その他
73,ネットワーク構成については、調達仕様書別紙0「閲覧資料一覧」に示す資料を参照のこと。,その他
74,受託者は、標準管理要領品質管理要領に基づき、受託者の成果物に関する品質を管理すること。,その他
75,品質状況を職業安定局に報告するとともに、品質管理に当たっての問題等がある場合や、職業安定局から問題を指摘された場合は、その内容と対応策を職業安定局に報告し、職業安定局と協議の上、その指示に従うこと。,その他
76,受託者は、標準管理要領情報セキュリティ対策要領に基づき、情報セキュリティ管理計画書を作成すること。,その他
77,情報セキュリティ管理報告書を作成し管理状況を職業安定局に報告するとともに、情報セキュリティ管理上の問題等がある場合や、職業安定局から問題を指摘された場合は、その内容と対応策を課題事項一覧に記載の上職業安定局に報告し、職業安定局と協議の上、その指示に従うこと。,その他
78,障害管理状況を職業安定局に報告するとともに、障害管理上の問題等がある場合や、職業安定局から問題を指摘された場合は、その内容と対応策を職業安定局に報告し、職業安定局と協議の上、その指示に従うこと。,その他
79,受託者は、ハードウェア、ネットワークに関する障害と考えられるときは、職業安定局の指示の下、関連する事業者の作業を支援し、障害の解決、解消を推進すること。,その他
80,また、連携する外部システムに跨る障害と考えられるときは、職業安定局を経由して、外部関連事業者に障害の解決、解消の協力依頼を行うこと。,その他
81,受託者は、契約期間内について、本調達に係る本番環境及び保守環境の利用に関して、関連事業者を含めた調整マシン利用スケジュール等の管理調整を行うこと。,その他
82,受託者は、本番環境及び保守環境で不具合が発生した場合、瑕疵がないことを証明できた場合を除き、迅速に対応すること。,その他
83,受託者は、本情報システムにおける本調達対象外の部分に影響を及ぼさないように作業を実施すること。,保守性
84,受託者は、他の情報システムにおける外部インタフェースについては、職業安定局からインタフェース仕様書を提示するので、これに従うこと。,その他
85,インタフェースについて、特段の理由等により変更される場合は職業安定局から提示する変更後のインタフェース仕様書に従うこと。,その他
86,設計期間中は、他の業務改善や制度改正等による本情報システムの改修作業が並行発生することが想定される。,その他
87,本情報システムの改修内容を本調達の開発内容に確実に取り込み、機能の整合性が保たれていることを保証すること。,機能適合性
88,本調達対象外の機能と共通で使用しているモジュール、データベース等の改修を行う場合、本調達対象外の機能に影響が発生していないことについても、受託者の責任でテストを実施すること。,保守性
89,総合テストにおいて障害等が発生した場合は、受託者は、必要に応じてソフトウェア保守事業者等関連事業者に対し協力を要請し、受託者が主導的に原因究明、対応策検討、対応策実施を行うこと。,その他
90,総合テストは、職業安定局が指定する保守環境で実施すること。,その他
91,なお、この保守環境は職業安定局が用意する。,その他
92,受託者は、本情報システムとの連携に係るテストを含めること。,その他
93,総合テストの実施範囲については、原則として本調達に係る作業が影響を与える機能のすべてを対象とする。,その他
94,負荷テストの実施に当たっては、対象範囲、クライアント数、データ量、負荷を与える時間、測定対象値、目標値等の前提条件について、職業安定局と協議の上規定すること。,保守性
95,本調達対象外の機能と共通で使用しているモジュール、データベース等の改修を行う場合、本調達対象外の機能に影響が発生していないことについても、受託者の責任でテストを実施すること。,保守性
96,受入テストにおいて障害等が発生した場合には、受託者は、ソフトウェア保守事業者等関連事業者と協力して、受託者が主導的に原因究明、対応策検討、対応策実施を行うこと。,その他
97,受託者は、職業安定局が保有するシステム、及びそれらのシステムと連携する各種システムの運用を停止させる等の影響を可能な限り与えることなく作業を行うこと。,その他
98,受託者は、稼働後から本調達に係る契約満了までの期間において、運用事業者及びソフトウェア保守事業者からの問合せに対応すること。,その他
99,受託者が変更したアプリケーションソフトウェアに係る障害が発生した場合、しかるべき要員が、0時間0日運用組織から障害発生に係る連絡を直接受け付けることが可能なこと。,その他
100,求職者支援機能群で利用される主なデータの取扱量は、表0‐0「データ件数」のとおりとする。,性能効率性
101,サービスの利用者数及び本情報システムの利用者数平成0年0月時点訓練受講者数:約0人訓練実施機関数:約0件,性能効率性
102,業務の時期、時間について、表0‐0「業務の時期、時間」に示す。,その他
103,調達仕様書0「業務の概要」で説明した業務のうち、「システム化対象となる業務の概要」を本調達における情報システム化の範囲とし、原則本調達仕様書に基づいて行うものとする。,機能適合性
104,情報システム化する機能は表0‐0「改修対象機能」のとおりとする。,機能適合性
105,本情報システムにおける主な利用者の種類について、表0‐0「利用者の種類」に示す。,その他
106,本調達に関係する機能のユーザビリティ要件は、本情報システムのユーザビリティ要件に準じること。,その他
107,なお、本情報システムのユーザビリティ要件については、調達仕様書別紙0「閲覧資料一覧」の開発標準等を参照すること。,その他
108,本調達に関係する機能のアクセシビリティ要件は、本情報システムのアクセシビリティ要件に準じること。,その他
109,なお、本情報システムのアクセシビリティ要件については、調達仕様書別紙0「閲覧資料一覧」の開発標準等を参照すること。,その他
110,求職者支援機能群の稼働環境ハードウェア構成、ソフトウェア構成、ネットワーク構成等に係る方式設計は、既存の方式設計書を参照すること。,その他
111,受託者は、この方式設計を前提として、本調達に関係する機能を開発すること。,その他
112,方式設計の内容については、調達仕様書別紙0「閲覧資料一覧」を参照すること。,その他
113,調達仕様書図0‐0「本情報システムの稼働環境概要」のとおりとする。,その他
114,受託者は、本調達の開発方式及び開発手法について、本書に示す業務要件、機能要件及び非機能要件を踏まえて提案すること。,その他
115,開発対象である求職者支援機能群は、職業安定局の拠点及び独立行政法人高齢、障害、求職者支援機構の拠点に設置された端末で利用される。,機能適合性
116,職業安定局における拠点数、利用数は、下記のとおり想定している。,性能効率性
117,拠点数:0箇所端末台数保守環境除く:0台※内訳窓口、職員端末紹介:0台共用端末紹介:0台職員端末ノート:0台※ネット、メール専用端末については、含まない。,性能効率性
118,アプリケーション規模については、調達仕様書別紙0「閲覧資料一覧」の開発規模実績を参照すること。,その他
119,性能要件については、調達仕様書別紙0「閲覧資料一覧」に示す情報の開発規模実績等を参照すること。,その他
120,納入成果物において、本番環境で使用するものは、障害復旧に対する可用性を高めるよう考慮すること。,その他
121,データの紛失や改ざんが発生した際にも復旧が可能なよう、データのバックアップ取得を定期的に可能とすること。,信頼性
122,障害等が発生した際に、その原因を追究できるよう必要なログを出力可能とすること。,保守性
123,データが第三者や権限のないユーザに参照されないよう、データベースのアクセス権限を正しく設定し、必要に応じて暗号化を実施すること。,セキュリティ
124,将来の制度の変更や対象業務の追加や対象業務の変化に対する拡張性を考慮し、必要に応じて機能、性能の拡張が可能であるように柔軟性を持った設計、開発方針を策定し、実施すること。,"保守性,移植性"
125,また、本サービス稼働までにブラウザがバージョンアップされる可能性があること等を考慮し、特定のブラウザやバージョンに可能な限り依存しない設計、開発方針を策定し、実施すること。,移植性
126,受託者は、クライアントosのバージョンアップに備え、osの特定バージョンに依存する機能が判明している場合は、その利用を最低限とすること。,その他
127,webブラウザ及び実行環境等のバージョンアップの際、必要な調査及び作業を実施することで、バージョンアップに対応可能な情報システムとすること。,移植性
128,本調達で採用する技術が特定の事業者のみが知りうる情報に基づいておらず、保守や将来の拡張性を他事業者に引き継ぐことが可能であること。,保守性
129,再設計及び開発改修に当たっては、特定の事業者に偏ることがないよう、標準的な設計技法及びツールを用い、仕様が公開されている柔軟性の高い技術を用いること。,保守性
130,なお、特定のベンダが保有するハードウェア、ソフトウェア及びライセンスを前提としないこと。,その他
131,受託者は、「政府機関の情報セキュリティ対策のための統一基準最新版」、「厚生労働省情報セキュリティポリシー」、「ハローワークシステム運用管理規定」及び「特定個人情報保護評価書職業安定行政業務に関する事務の基礎項目評価書及び全項目評価書0年平成0年0月0日公表」に準拠した情報セキュリティ対策を講ずること。,その他
132,「厚生労働省情報セキュリティポリシー」及び「ハローワークシステム運用管理規定」については、契約締結後、受託者が職業安定局に守秘義務の誓約書を提出した際に開示する。,その他
133,開示前においては、「政府機関の情報セキュリティ対策のための統一基準最新版」を参照すること。,その他
134,権限については、本情報システムの権限要件に準じること。,その他
135,本情報システムの権限要件については、既存の基本設計書等を参照すること。,その他
136,受託者は、0「情報セキュリティに関する事項」に示す情報セキュリティに係る各要件を踏まえて設定する情報セキュリティ対策の方針に従い本情報システム機器、配置等の検討を行うに当たって、あらかじめ想定されるリスクの概要と対策の種類、条件を提案時に示すこと。,その他
137,情報セキュリティ対策として、「政府機関の情報セキュリティ対策のための統一基準最新版」、「厚生労働省情報セキュリティポリシー」、「ハローワークシステム運用管理規程」及び「特定個人情報保護評価書職業安定行政業務に関する事務の基礎項目評価書及び全項目評価書0年平成0年0月0日公表」に示す対策のうち、本情報システムに必要となる範囲について対応を実施すること。,その他
138,更に、「「高度標的型攻撃」対策に向けたシステム設計ガイド0年0月独立行政法人情報処理推進機構セキュリティセンター」を参考とすること。,セキュリティ
139,なお、本調達の実施に係る情報セキュリティ対策の検討、実施に当たっては、下記に従うこと。,その他
140,受託者は、以下のセキュリティ機能を必要に応じて実装すること。,セキュリティ
141,受託者は、以下の脆弱性対策を実施すること。,セキュリティ
142,本調達に基づく改修が影響する範囲について、第三者による脆弱性検査を実施し、その結果を職業安定局に書面にて報告すること。,その他
143,構築する情報システムを構成する機器及びソフトウェアの中で、脆弱性対策を実施するものを適切に決定すること。,セキュリティ
144,脆弱性対策を行うとした機器及びソフトウェアについて、公表されている脆弱性情報及び公表される脆弱性情報を把握すること。,その他
145,把握した脆弱性情報について、対処の要否、可否を判断すること。,その他
146,本調達に係る業務の遂行において情報セキュリティが侵害され又はそのおそれがある場合には、速やかに職業安定局に報告すること。,その他
147,本情報システムの構築等又は運用、保守、点検の際に導入する製品ソフトウェア及びハードウェアについては、本情報システムのライフサイクルにおけるサポート部品、セキュリティパッチ、不具合への対応としてのパッチの提供等が継続される製品を導入すること。,その他
148,受託者は、職業安定局が別途実施する第三者による情報セキュリティ監査に対応すること。,その他
149,本調達に係る業務の遂行において、受託者における情報セキュリティ対策の履行が不十分であると認められる場合には、受託者は、職業安定局の求めに応じ、職業安定局と協議の上、合意した対応を実施すること。,その他
150,本調達に係る本情報システムを構成するソフトウェア、機器等について、itセキュリティ評価及び認証制度に基づく認証を取得している製品を積極的に採用すること。,セキュリティ
151,採用に当たっては、以下の資料を参照すること。,その他
152,受託者は、情報セキュリティ事故が発生した場合は、あらかじめ定められた一次対応を行った上で、原因の分析及び再発防止策の検討を行い、職業安定局に報告し、職業安定局の承認を得た上で再発防止策を実行すること。,保守性
153,受託者は、厚生労働省情報セキュリティポリシー等の見直しが行われた場合は、その内容に準拠すること。,保守性
154,情報セキュリティ対策を実施するに当たり、受託者において本調達に係る者に対する情報セキュリティ教育を実施すること。,その他
155,この実施方法等について、情報セキュリティ管理計画書に情報セキュリティ教育実施計画を記載し、職業安定局による承認を得た上で実施すること。,その他
156,また、その結果を情報セキュリティ管理報告書に記載し、職業安定局に報告すること。,その他
157,なお、本調達に係る担当者の追加、変更をする場合には、あらかじめ情報セキュリティ教育を実施すること。,その他
158,全体構成については、調達仕様書別紙0「閲覧資料一覧」に示す資料を参照のこと。,その他
159,ハードウェア構成については、調達仕様書別紙0「閲覧資料一覧」に示す資料を参照のこと。,その他
160,ソフトウェア構成については、調達仕様書別紙0「閲覧資料一覧」に示す資料を参照のこと。,その他
161,ネットワーク構成については、調達仕様書別紙0「閲覧資料一覧」に示す資料を参照のこと。,その他
162,受託者は、標準管理要領課題管理要領に基づき、受託者の作業範囲に関する課題を管理すること。,その他
163,課題状況を職業安定局に報告するとともに、課題管理に当たっての問題等がある場合や、職業安定局から問題を指摘された場合は、その内容と対応策を職業安定局に報告し、職業安定局と協議の上、その指示に従うこと。,その他
164,受託者は、標準管理要領リスク管理要領に基づき、受託者の作業範囲に関するリスクを管理すること。,その他
165,リスク管理状況を職業安定局に報告するとともに、リスク管理上の問題等がある場合や、職業安定局から問題を指摘された場合は、その内容と対応策を職業安定局に報告し、職業安定局と協議の上、その指示に従うこと。,その他
166,受託者は、標準管理要領情報セキュリティ対策要領に基づき、情報セキュリティ管理計画書を作成すること。,その他
167,受託者は、標準管理要領障害管理要領に基づき、受託者の成果物に関するプログラム開発の障害プログラムバグ、不具合等を障害と総称するを管理し、速やかに障害の解決、解消を実施すること。,その他
168,受託者は、ハードウェア、ネットワークに関する障害と考えられる時は、職業安定局の指示の下、関連する事業者の作業を支援し、障害の解決、解消を推進すること。,その他
169,また、連携する外部システムに跨る障害と考えられる時は、職業安定局を経由して、障害の解決、解消の協力依頼を行うこと。,その他
170,受託者は、契約期間内について、本調達に係る本番環境及び保守環境の利用に関して、関連事業者を含めた調整マシン利用スケジュール等の管理調整を行うこと。,その他
171,また、受託者は、本番環境及び保守環境で不具合が発生した場合、瑕疵がないことを証明できた場合を除き、迅速に対応すること。,その他
172,受託者は、受託者における作業実施体制を管理すること。,その他
173,設計、開発実施計画書には、プロジェクト管理の実施内容、プログラムのステップ数、機能数、対象画面、帳票、テスト項目数等の計画値、計画wbs及びevm管理表を含むこと。,その他
174,受託者は、本情報システムにおける本調達対象外の部分に影響を及ぼさないように作業を実施すること。,保守性
175,受託者は、本情報システムの内容等について習熟した上で、本情報システムの稼働に影響を与えないよう十分に配慮すること。,その他
176,設計の作業に際して、本情報システムのプログラム、ハードウェア、ソフトウェア、ネットワーク環境等に影響又は変更が発生する場合、関連事業者との調整を主体的に行うこと。,その他
177,当該調整については、受託者の責任と負担により実施すること。,その他
178,現時点で想定している機能の詳細化の内容を具体的に提案すること。,その他
179,受託者は、他の情報システムにおける外部インタフェースについては、職業安定局からインタフェース仕様書を提示するので、これに従うこと。,その他
180,また、インタフェースについて、特段の理由等により変更される場合は職業安定局から提示する変更後のインタフェース仕様書に従うこと。,その他
181,本調達対象外の機能と共通で使用しているモジュール、データベース等の改修を行う場合、本調達対象外の機能に影響が発生していないことについても、受託者の責任でテストを実施すること。,保守性
182,結合テストに必要な環境は受託者の負担で準備、設置すること。,その他
183,その際、改修対象のプログラムが本情報システムのインフラ基盤と整合性を図るよう留意すること。,その他
184,また、改修対象以外の機能との連携が発生する場合は、必要に応じて当該機能の環境についても構築し、テストに不足を生じさせないよう留意すること。,その他
185,総合テストは、職業安定局が指定する保守環境で実施すること。,その他
186,なお、この保守環境は職業安定局が用意する。,その他
187,受託者は、本情報システムとの連携に係るテストを含めること。,その他
188,このテストの実施時期について、関連事業者と調整の上、テスト実施計画書総合テストで明確にすること。,その他
189,なお、総合テストの実施範囲については、原則として本調達に係る作業が影響を与える機能の全てを対象とする。,その他
190,受託者は、構築する本情報システムが耐えられる負荷を測定し、本情報システムの信頼性及び耐用範囲を明確にするため、負荷テストを実施すること。,その他
191,負荷テストの実施に当たっては、対象範囲、クライアント数、データ量、負荷を与える時間、測定対象値、目標値等の前提条件について、職業安定局と協議の上規定すること。,保守性
192,受託者は、本調達の改修により、セキュリティに関するテストが必要となる場合は、総合テストにおいてサーバのポートスキャンの実施を含めた、インターネットからのセキュリティ要件に関するテストアタックテスト等を実施すること。,その他
193,また、テストの結果において、セキュリティ脆弱性が発覚した場合は、対策についても実施すること。,その他
194,本調達対象外の機能と共通で使用しているモジュール、データベース等の改修を行う場合、本調達対象外の機能に影響が発生していないことについても、受託者の責任でテストを実施すること。,保守性
195,受入テストにおいて障害等が発生した場合には、受託者は、ソフトウェア保守事業者等関連事業者と協力して、受託者が主導的に原因究明、対応策検討、対応策実施を行うこと。,その他
196,受託者は、ソフトウェア保守事業者、運用事業者等と協力して、本情報システムのプログラム等を本番環境に導入すること。,その他
197,移行の実施後、受託者は、ソフトウェア保守事業者、運用事業者等と協力して、移行されたプログラム等の検証を行い、結果を移行結果報告書として取りまとめ、職業安定局に報告の上、検証完了の承認を得ること。,その他
198,移行実施計画書には、移行時の障害発生等による切り戻し作業等、緊急時や不測の事態が発生した場合の対応策を含めること。,その他
199,受託者は、ソフトウェア保守事業者、運用事業者等と協力して、移行作業のリハーサルを実施すること。,その他
200,受託者は、必要に応じて移行ツールを作成すること。,その他
201,受託者は、ソフトウェア保守事業者、運用事業者等と調整の上、必要に応じて開発対象に係る設定変更や構成変更を行い、本番環境への導入を実施すること。,その他
202,受託者は、職業安定局が保有するシステム、及びそれらのシステムと連携する各種システムの運用を停止させる等の影響を可能な限り与えることなく作業を行うこと。,その他
203,移行において障害等が発生した場合には、受託者は、ソフトウェア保守事業者等関連事業者と協力して、受託者が主導的に原因究明、対応策検討、対応策実施を行うこと。,その他
204,受託者は、リリース後契約期間内については、オンサイトにて重点監視を行うこと。,その他
205,引継完了直後から、運用事業者によるヘルプデスクが問合せに対応できるよう留意すること。,その他
206,契約期間内に引継が完了しない場合は、受託者の責任と負担において引継完了まで継続して実施すること。,その他
207,ソフトウェア保守作業に係わる留意事項等もソフトウェア保守事業者に引き継ぐこと。,その他
208,受託者は、稼働後から本調達に係る契約満了までの期間において、運用事業者及びソフトウェア保守事業者からの問合せに対応すること。,その他
209,受託者が変更したアプリケーションソフトウェアに係る障害が発生した場合、しかるべき要員が、0時間0日運用組織から障害発生に係る連絡を直接受け付けることが可能なこと。,その他
210,受託者は、運用組織が行う障害の一次切分けの支援として、障害状況の調査、ソフトウェアの情報提供、対策会議への出席等を運用組織からの指示に従い、速やかに行うこと。,その他
211,運用組織又はソフトウェア保守事業者は一次切分けの後、事象の緊急性や重要性を勘案した上で本調達の受託者に対しオンサイト対応を要請することがある。,その他
212,受託者は、障害について、運用組織からの連絡を受けた時から0時間以内を目標に、運用組織と協議の上で決定した期間内に本対処又は暫定対処を実施すること。,その他
213,なお、「暫定対処」とは、障害からの完全な復旧を迅速に行うことが困難な場合、業務に支障がないと職業安定局が認める状態まで復旧させる一時的な措置を指す。,その他
214,本情報システムで対象とする業務は、以下のとおりとする。,その他
215,業務内容等については、別紙0「閲覧資料一覧」に示す情報を参照すること。,その他
216,求人者からの学卒に係る求人申込については、ミスマッチ解消のために、労働条件に加えて職場の就労実態に係る情報募集、採用に関する状況、雇用管理に関する状況、職業能力の開発、向上に関する状況の提供を求める。,その他
217,学卒に係る求人票については、これらの職場情報を併せて提供する。,その他
218,また、労働基準関係法令及び雇用均等関係法令のうち特定条項に繰り返し違反し、是正指導、勧告を受けた事業場又は事業主及び送検、公表された事業場又は事業主の情報を関係部局より受領し、本情報システムに登録する。,その他
219,さらに、若者応援認定企業及び若者応援宣言企業について、上記の求人を不受理とする事業場等の要件に該当しないこと等を確認の上、本情報システムに登録する。,その他
220,職業紹介に係る業務の流れは、別紙0「要件定義書別紙0「業務フロー」のとおりとする。,その他
221,本情報システムは以下の0サブシステムから構成されており、各サブシステムが提供する機能等は次のとおりとする。,その他
222,なお、本情報システムの詳細については、別紙0「閲覧資料一覧」に示す情報を参照すること。,その他
223,これらの業務を処理する職業紹介サブシステムの主要機能として、求人者管理、求職者管理、紹介、採否、情報検索の機能がある。,その他
224,また、特定求職者の支援計画の作成、職業訓練受講給付金の支給及び認定職業訓練実施奨励金の支給の機能がある。,その他
